coach_username,post_shortcode,post_type,likes,comments,timestamp,caption_length,has_cta,content_category,is_reel
dairo9292,CbFwG5AFNFE,Video,50,7,2022-03-14T15:55:12.000Z,627,False,lifestyle,False
davidsoto91,DT296z4iIFe,Sidecar,3414,29,2026-01-23T15:51:14.000Z,354,False,lifestyle,False
dairo9292,Czv-VUvrpYE,Video,43,7,2023-11-17T13:58:39.000Z,41,False,lifestyle,False
davidsoto91,DVv1B1djboW,Video,-1,6,2026-03-11T14:52:04.000Z,69,False,lifestyle,False
davidsoto91,DV3zP5MkQ3Y,Video,-1,57,2026-03-14T16:41:00.000Z,27,False,lifestyle,False
davidsoto91,DS-PNV7iPui,Sidecar,1450,15,2026-01-01T15:05:36.000Z,32,False,lifestyle,False
davidsoto91,DSxpCgIiNkz,Sidecar,-1,7,2025-12-27T17:41:11.000Z,70,False,lifestyle,False
davidsoto91,DSpjIdfCFb6,Image,-1,11,2025-12-24T14:15:38.000Z,18,False,lifestyle,False
dairo9292,Crla0XLOhpw,Video,42,9,2023-04-28T15:23:28.000Z,22,False,lifestyle,False
davidsoto91,B2T3WUxI2Xz,Sidecar,22119,170,2019-09-12T12:00:45.000Z,69,False,lifestyle,False
davidsoto91,CpK1Pt_Izwc,Image,-1,12,2023-02-27T14:30:18.000Z,2,False,lifestyle,False
davidsoto91,DTklJ7aiFdo,Sidecar,1017,20,2026-01-16T12:28:30.000Z,272,False,testimonial,False
davidsoto91,DVyahwkiLL-,Sidecar,-1,12,2026-03-12T14:27:48.000Z,203,False,workout,False
davidsoto91,B3XCavgIWjz,Image,26986,258,2019-10-08T14:06:35.000Z,28,False,lifestyle,False
yailfitnesscoach,DUYlYjbEROs,Video,-1,0,2026-02-05T17:11:39.000Z,123,False,workout,False
anabolic.cream,DQ1pBeeEcNk,Video,84,10,2025-11-09T13:57:45.000Z,435,False,testimonial,False
davidsoto91,DSH6V1ViISP,Sidecar,-1,8,2025-12-11T12:44:16.000Z,106,False,lifestyle,False
dairo9292,CjEnexOMR1l,Video,328,6,2022-09-29T01:29:52.000Z,62,False,lifestyle,False
